Cube ID,Timestamp,Temperature Layer A,Temperature Layer B,Humidity Layer A,Humidity Layer B
28,388,,,11.42,
68,393,,,9.03,
13,395,,,10.27,
68,396,,,,8.23
90,396,,,10.07,
20,396,,,,
89,405,,,,9.41
22,405,,,,7.74
27,409,,,,12.13
52,409,,,,9.17
70,410,,,,10.87
36,411,,,,9.39
60,414,,,,8.51
49,418,,,,10.1
8,419,,,,7.76
74,425,,,11.19,
1,444,,,,9.16
19,454,,,,8.73
95,455,,,10.38,
66,457,,,8.71,
10,457,,,,8.05
37,457,,,,8.92
10,460,,,9.28,
93,463,,,9.45,
31,465,,,9.37,
77,466,,,,9.09
18,469,,,9.06,
11,471,,,8.42,
67,471,,,,11.04
14,480,,,9.7,
21,481,,,7.75,
62,489,,,,8.26
23,489,,,,8.86
46,491,,,10.31,
76,494,,,,7.68
94,495,,,,10.72
75,90173,,,,9.88
50,90285,,,10.7,
9,90360,,,,9.06
95,90375,,,,8.29
25,90379,,,10.99,
24,90477,,,11.12,
92,91916,,,9.54,
68,91917,,,,9.47
85,91944,,,,9.84
18,91956,,,,8.81
97,91963,,,,9.64
16,91969,,,7.8,
82,92000,,,,8.84
4,92001,,,9.48,
34,92007,,,,7.88
28,92010,,,,10.31
99,92011,,,,9.3
78,92018,,,,9.92
76,92018,,,,8.79
67,92027,,,,9.97
1,92059,,,7.83,
42,92059,,,10.17,
37,92064,,,7.93,
56,92077,,,10.36,
83,92079,,,8.92,
11,92084,,,8.24,
31,92086,,,9.52,
72,92092,,,,9.89
14,92097,,,10.74,
85,92124,,,10.25,
57,92138,,,,8.57
32,92156,,,9.81,
36,92158,,,,12.28
73,92162,,,9.75,
84,92176,,,9.25,
15,92192,,,8.95,
26,92202,,,,8.63
79,92215,,,10.57,
96,92219,,,9.03,
34,92221,,,9.97,
30,92227,,,9.25,
70,92233,,,,7.87
8,92238,,,,8.02
39,92242,,,,7.47
93,92260,,,8.6,
17,92267,,,,8.47
91,92277,,,,10.5
87,92288,,,8.86,
81,92290,,,,9.15
48,92296,,,9.25,
17,92298,,,8.65,
5,92300,,,9.14,
13,92311,,,,11.3
6,92323,,,,9.52
99,92337,,,7.5,
66,92339,,,,8.88
65,92370,,,10.37,
94,92372,,,8.58,
47,92391,,,,9.37
90,92392,,,,11.55
24,92393,,,,8.44
69,92399,,,10.18,
70,92406,,,9.04,
81,92409,,,8.08,
56,93913,,,,7.96
86,93926,,,,9.79
38,93927,,,,9.66
65,93943,,,,8.04
77,93949,,,,10.55
41,93950,,,,9.14
23,93957,,,8.39,
45,93976,,,,9.53
93,93980,,,,8.02
80,93980,,,,8.63
11,93982,,,,11.2
18,93983,,,8.85,
74,93988,,,,9.55
29,93990,,,,9.08
21,94004,,,10.13,
58,94005,,,9.85,
33,94016,,,9.26,
66,94027,,,9.58,
78,94031,,,9.13,
43,94031,,,,9.53
95,94033,,,9.23,
89,94034,,,9.66,
61,94043,,,10.83,
89,94043,,,,11.61
62,94045,,,10.02,
33,94060,,,,9.81
37,94076,,,,9.09
38,94085,,,9.14,
0,94089,,,,8.21
41,94092,,,7.7,
2,94092,,,10.13,
9,94092,,,9.34,
12,94094,,,7.8,
10,94098,,,,9.23
31,94101,,,,9.49
32,94104,,,,8.25
13,94106,,,10.85,
83,94108,,,,7.33
73,94113,,,,9.67
39,94113,,,9.35,
2,94115,,,,9.05
43,94118,,,9.07,
53,94118,,,7.32,
92,94119,,,,8.72
23,94119,,,,7.78
64,94123,,,,9.45
90,94123,,,10.25,
44,94138,,,9.52,
7,94140,,,9.84,
79,94145,,,,8.19
22,94151,,,,9.5
36,94151,,,8.37,
87,94154,,,,9.98
52,94156,,,9.49,
40,94165,,,10.06,
63,94173,,,,8.9
54,94173,,,8.21,
40,94185,,,,8.76
63,94192,,,9.73,
88,94195,,,9.46,
75,94200,,,8.48,
14,94206,,,,8.6
49,94207,,,,8.71
10,94212,,,8.79,
48,94219,,,,10.01
82,94223,,,11.97,
59,94224,,,,8.63
74,94234,,,8.74,
12,94235,,,,8.08
35,94247,,,,12.1
8,94253,,,11.67,
60,94260,,,9.25,
0,94261,,,8.61,
3,94265,,,,8.65
54,94273,,,,9.59
52,94275,,,,9.66
72,94289,,,9.05,
51,94290,,,10.56,
77,94312,,,10.72,
67,94316,,,8.67,
22,94317,,,10.53,
94,94322,,,,8.64
3,94325,,,8.36,
28,94329,,,9.11,
68,94330,,,8.99,
97,94334,,,8.89,
55,94336,,,,10.22
57,94343,,,7.94,
25,94354,,,,10.03
4,94358,,,,7.87
98,94358,,,9.54,
27,94361,,,,11.83
35,94372,,,9.69,
15,94375,,,,7.64
49,94376,,,8.43,
47,94386,,,8.31,
84,94389,,,,8.96
69,94394,,,,9.11
6,94399,,,9.04,
76,94402,,,8.84,
53,96004,,,,9.32
71,96013,,,,8.97
55,96022,,,9.45,
96,96050,,,,8.95
45,96054,,,10.34,
86,96070,,,8.26,
71,96098,,,7.65,
29,96108,,,8.52,
30,96141,,,,9.64
44,96141,,,,9.97
7,96150,,,,9.36
60,96178,,,,7.69
88,96184,,,,9.5
91,96222,,,6.69,
80,96226,,,10.02,
51,96240,,,,8.62
62,96271,,,,7.73
64,96282,,,8.85,
19,96283,,,9.59,
27,96310,,,9.31,
61,96314,,,,9.94
21,96335,,,,9.56
50,96353,,,,10.0
98,96378,,,,9.18
1,96398,,,,8.68
5,96409,,,,9.95
58,96418,,,,7.35
42,96434,,,,9.29
59,96435,,,8.05,
26,96480,,,8.09,
19,96491,,,,10.54
16,98530,,,,7.71
75,180099,,,,10.95
25,180195,,,9.63,
95,180237,,,,11.2
50,180396,,,9.04,
9,180438,,,,9.1
24,180490,,,9.15,
68,183831,,,,8.81
82,183841,,,,9.25
94,183853,,,10.66,
57,183854,,,,8.5
66,183873,,,,9.76
99,183894,,,,11.25
17,183895,,,,6.26
67,183911,,,,10.66
93,183912,,,9.98,
72,183913,,,,8.14
85,183919,,,9.32,
32,183927,,,9.08,
18,183936,,,,9.07
17,183940,,,6.48,
65,183958,,,9.08,
81,183967,,,10.27,
79,183976,,,10.6,
39,183983,,,,10.11
1,183999,,,8.42,
30,184002,,,11.85,
5,184020,,,9.42,
15,184021,,,9.39,
56,184035,,,9.75,
31,184042,,,8.46,
47,184055,,,,10.99
11,184075,,,9.31,
24,184081,,,,10.84
48,184081,,,10.23,
42,184081,,,10.32,
78,184094,,,,8.45
28,184101,,,,10.51
76,184119,,,,7.22
81,184120,,,,7.76
70,184128,,,11.89,
34,184139,,,,8.23
83,184155,,,8.28,
13,184160,,,,9.58
92,184163,,,8.73,
6,184174,,,,10.44
90,184182,,,,9.8
69,184195,,,9.12,
14,184208,,,10.94,
4,184210,,,8.98,
37,184221,,,8.34,
91,184222,,,,9.86
99,184232,,,7.77,
8,184237,,,,10.47
34,184253,,,7.91,
73,184253,,,8.8,
16,184257,,,8.85,
26,184259,,,,9.26
97,184267,,,,8.96
36,184268,,,,9.44
70,184275,,,,10.8
85,184280,,,,9.88
87,184301,,,10.24,
96,184307,,,9.08,
84,184316,,,9.5,
8,187825,,,11.24,
90,187832,,,11.47,
76,187845,,,9.4,
18,187851,,,9.86,
69,187862,,,,9.56
80,187874,,,,9.84
41,187877,,,,6.02
54,187879,,,8.63,
79,187882,,,,8.23
21,187885,,,9.2,
12,187892,,,,9.19
44,187892,,,8.51,
37,187899,,,,9.17
68,187903,,,9.0,
31,187905,,,,9.37
66,187916,,,9.72,
98,187921,,,8.9,
27,187922,,,,9.51
13,187930,,,11.86,
97,187939,,,10.37,
51,187945,,,9.61,
61,187948,,,10.19,
56,187949,,,,8.23
52,187953,,,8.46,
28,187953,,,11.34,
23,187957,,,9.77,
84,187976,,,,9.33
22,187976,,,,8.67
35,187977,,,,11.27
29,187984,,,,8.04
54,187994,,,,8.66
75,188000,,,9.18,
64,188003,,,,11.05
25,188006,,,,11.8
32,188007,,,,8.8
58,188018,,,9.79,
0,188022,,,7.19,
55,188027,,,,10.53
10,188036,,,9.16,
92,188041,,,,8.85
35,188045,,,7.96,
77,188048,,,,10.13
47,188053,,,8.92,
15,188070,,,,10.31
49,188075,,,,8.63
88,188075,,,9.9,
12,188076,,,8.28,
23,188082,,,,9.67
38,188085,,,,9.12
43,188085,,,9.77,
40,188087,,,9.08,
33,188090,,,,9.52
38,188099,,,8.16,
39,188115,,,8.89,
63,188118,,,10.47,
10,188118,,,,8.15
73,188127,,,,9.11
82,188131,,,9.68,
14,188131,,,,8.64
33,188138,,,8.06,
95,188138,,,9.37,
3,188149,,,,8.6
7,188150,,,10.23,
6,188159,,,8.57,
77,188164,,,8.52,
89,188165,,,,9.23
86,188182,,,,9.54
87,188187,,,,9.18
40,188191,,,,8.72
94,188193,,,,9.64
11,188199,,,,8.98
22,188199,,,9.36,
0,188208,,,,8.98
49,188208,,,9.14,
74,188213,,,7.84,
89,188218,,,10.29,
59,188220,,,,9.33
62,188227,,,12.73,
45,188231,,,,9.45
4,188239,,,,8.17
93,188250,,,,7.73
78,188252,,,9.63,
65,188253,,,,10.87
2,188255,,,9.06,
3,188259,,,10.21,
60,188262,,,10.02,
48,188268,,,,9.14
72,188270,,,10.25,
41,188275,,,7.34,
2,188279,,,,10.33
67,188284,,,8.73,
36,188287,,,10.45,
53,188291,,,6.55,
74,188299,,,,9.21
83,188301,,,,8.38
43,188301,,,,8.77
63,188303,,,,9.49
57,188311,,,10.82,
52,188319,,,,10.62
9,188321,,,10.4,
64,192020,,,7.51,
80,192034,,,9.59,
19,192035,,,8.78,
71,192044,,,7.99,
62,192053,,,,10.16
44,192064,,,,10.53
60,192065,,,,9.23
96,192112,,,,5.23
61,192114,,,,7.44
1,192158,,,,8.61
88,192161,,,,8.06
7,192165,,,,9.24
26,192189,,,8.68,
27,192201,,,9.41,
42,192215,,,,9.11
58,192220,,,,10.33
5,192220,,,,8.78
53,192284,,,,9.79
55,192286,,,9.44,
71,192306,,,,9.24
91,192346,,,9.11,
59,192373,,,8.56,
29,192383,,,9.54,
86,192388,,,8.21,
21,192389,,,,10.8
30,192407,,,,7.02
51,192413,,,,9.27
19,192436,,,,7.44
98,192493,,,,8.39
50,192494,,,,9.27
45,192496,,,9.58,
16,196721,,,,8.72
46,240101,,,8.82,
46,240111,,,,10.28
25,270063,,,9.99,
95,270154,,,,10.2
24,270356,,,9.59,
50,270377,,,9.6,
75,270380,,,,9.44
9,270407,,,,9.92
16,275748,,,10.33,
34,275768,,,,10.76
17,275784,,,,9.05
31,275791,,,9.24,
85,275814,,,8.02,
1,275824,,,8.67,
69,275834,,,7.86,
73,275834,,,7.27,
6,275841,,,,8.63
15,275845,,,7.96,
76,275853,,,,8.69
90,275875,,,,9.05
94,275878,,,9.6,
36,275878,,,,8.92
34,275886,,,10.62,
68,275887,,,,9.08
99,275888,,,11.04,
72,275902,,,,10.87
18,275927,,,,8.37
81,275929,,,10.24,
4,275944,,,8.91,
32,275946,,,9.8,
82,275948,,,,7.37
57,275949,,,,7.63
97,275965,,,,9.33
24,275972,,,,10.8
14,275986,,,9.35,
70,276000,,,11.23,
92,276007,,,8.53,
30,276009,,,10.14,
85,276025,,,,10.81
67,276028,,,,10.25
13,276031,,,,10.02
65,276035,,,8.69,
91,276047,,,,11.17
70,276054,,,,9.78
39,276055,,,,10.22
47,276057,,,,9.21
87,276071,,,8.76,
42,276075,,,9.75,
56,276077,,,9.43,
79,276094,,,9.34,
37,276102,,,7.98,
66,276106,,,,10.29
81,276124,,,,8.7
8,276125,,,,10.36
84,276126,,,8.91,
11,276141,,,10.16,
93,276143,,,11.22,
48,276147,,,8.5,
99,276159,,,,10.35
5,276167,,,10.04,
28,276168,,,,10.07
26,276173,,,,8.32
83,276207,,,10.0,
78,276217,,,,9.66
96,276227,,,9.46,
17,276231,,,8.0,
11,281744,,,,8.64
82,281744,,,9.38,
2,281747,,,9.84,
27,281760,,,,9.77
13,281774,,,11.79,
52,281777,,,9.85,
83,281777,,,,10.79
66,281788,,,8.45,
28,281790,,,10.09,
56,281801,,,,9.11
39,281803,,,8.99,
3,281814,,,10.04,
4,281821,,,,8.09
90,281822,,,8.55,
53,281822,,,8.7,
64,281829,,,,10.47
10,281832,,,,9.42
74,281835,,,,8.81
60,281842,,,9.51,
41,281849,,,,8.83
37,281858,,,,9.96
58,281860,,,8.46,
45,281871,,,,10.6
59,281873,,,,10.29
33,281877,,,9.27,
54,281889,,,,9.17
9,281891,,,7.76,
43,281894,,,,9.45
88,281901,,,10.19,
54,281903,,,8.8,
74,281905,,,10.12,
0,281914,,,8.56,
78,281915,,,8.94,
23,281917,,,8.84,
52,281919,,,,9.05
67,281921,,,9.04,
65,281926,,,,8.71
47,281934,,,10.49,
23,281935,,,,8.39
2,281938,,,,9.65
89,281941,,,9.19,
31,281943,,,,8.57
94,281950,,,,9.26
18,281952,,,12.43,
35,281955,,,8.37,
86,281972,,,,10.02
97,281975,,,10.3,
33,281992,,,,10.33
15,282011,,,,9.75
76,282012,,,8.31,
63,282016,,,10.74,
25,282020,,,,9.82
62,282022,,,10.61,
55,282023,,,,8.72
79,282024,,,,8.54
29,282026,,,,8.47
22,282028,,,9.09,
0,282029,,,,9.73
63,282031,,,,10.44
43,282035,,,8.6,
93,282037,,,,9.19
77,282037,,,9.15,
40,282038,,,10.15,
84,282041,,,,7.76
49,282043,,,,9.73
12,282044,,,,9.33
80,282050,,,,10.4
89,282052,,,,10.94
35,282054,,,,10.06
51,282059,,,10.16,
98,282070,,,9.63,
8,282077,,,9.94,
3,282078,,,,8.14
95,282079,,,9.53,
92,282094,,,,9.71
68,282112,,,9.82,
48,282116,,,,10.1
10,282122,,,7.81,
14,282134,,,,9.04
75,282135,,,8.84,
12,282138,,,9.01,
57,282142,,,10.26,
72,282155,,,9.59,
38,282159,,,,9.73
32,282162,,,,7.83
22,282165,,,,8.03
44,282165,,,9.21,
36,282165,,,10.62,
21,282168,,,9.5,
41,282171,,,8.74,
61,282173,,,8.74,
87,282180,,,,8.18
38,282195,,,7.07,
69,282196,,,,9.5
40,282200,,,,8.35
73,282203,,,,11.04
77,282218,,,,9.38
49,282220,,,8.62,
7,282230,,,7.21,
6,282233,,,7.91,
91,288021,,,8.92,
98,288025,,,,8.46
29,288036,,,7.79,
7,288036,,,,9.52
55,288054,,,9.06,
42,288058,,,,9.78
51,288083,,,,10.47
50,288091,,,,9.44
21,288106,,,,8.46
45,288137,,,8.95,
1,288165,,,,8.33
19,288173,,,,8.3
96,288182,,,,9.5
30,288190,,,,10.23
62,288236,,,,8.43
5,288240,,,,9.12
26,288249,,,8.93,
19,288258,,,6.28,
61,288273,,,,7.57
71,288281,,,,9.6
59,288284,,,7.55,
44,288302,,,,8.34
71,288329,,,6.01,
53,288333,,,,9.17
86,288378,,,9.01,
64,288423,,,10.9,
58,288433,,,,8.34
60,288477,,,,9.55
80,288477,,,9.18,
27,288480,,,7.64,
88,288483,,,,9.15
16,294899,,,,9.9
95,360018,,,,7.38
9,360035,,,,11.27
25,360150,,,10.86,
50,360317,,,8.94,
24,360473,,,10.43,
75,360488,,,,9.71
99,367669,,,9.52,
37,367679,,,8.73,
36,367698,,,,8.71
17,367699,,,,9.44
69,367705,,,7.66,
30,367707,,,11.79,
79,367726,,,9.98,
94,367738,,,10.55,
92,367745,,,10.75,
81,367757,,,,8.06
84,367759,,,9.14,
42,367762,,,9.73,
4,367788,,,10.67,
78,367790,,,,8.95
76,367796,,,,7.68
57,367825,,,,8.81
85,367829,,,10.15,
24,367832,,,,8.23
73,367876,,,8.89,
96,367876,,,9.82,
68,367889,,,,8.5
66,367905,,,,9.02
48,367906,,,10.38,
11,367908,,,8.56,
56,367916,,,11.24,
18,367919,,,,8.92
15,367923,,,9.4,
82,367926,,,,10.88
8,367934,,,,8.06
14,367949,,,8.94,
47,367949,,,,9.05
70,367951,,,10.76,
13,367953,,,,10.61
6,367964,,,,10.81
67,367964,,,,9.34
91,367981,,,,10.29
87,368001,,,10.45,
17,368001,,,9.55,
70,368004,,,,8.79
65,368007,,,9.73,
99,368009,,,,9.86
83,368018,,,7.46,
81,368021,,,12.25,
32,368026,,,9.32,
31,368032,,,8.89,
34,368035,,,8.67,
85,368039,,,,9.2
97,368046,,,,8.94
28,368055,,,,9.0
5,368062,,,10.14,
90,368062,,,,9.65
1,368070,,,9.35,
72,368077,,,,10.04
26,368091,,,,8.92
16,368096,,,10.45,
93,368114,,,9.29,
34,368127,,,,8.89
39,368130,,,,9.06
18,375654,,,9.04,
61,375657,,,8.89,
54,375664,,,8.2,
27,375666,,,,9.33
57,375667,,,10.51,
58,375669,,,10.9,
8,375678,,,8.84,
83,375681,,,,8.07
23,375683,,,,10.19
11,375697,,,,10.51
39,375699,,,9.96,
40,375706,,,,11.3
69,375709,,,,8.14
82,375710,,,8.29,
65,375714,,,,12.12
21,375721,,,8.55,
66,375736,,,9.72,
54,375771,,,,9.41
35,375776,,,,11.69
97,375776,,,9.4,
29,375779,,,,8.26
2,375779,,,10.45,
63,375785,,,,8.33
52,375786,,,,9.36
44,375787,,,7.86,
84,375788,,,,9.48
77,375800,,,7.64,
74,375816,,,,11.19
0,375817,,,,9.38
43,375820,,,,10.15
25,375822,,,,9.2
3,375829,,,9.71,
87,375835,,,,9.08
12,375840,,,,10.23
56,375848,,,,9.78
94,375848,,,,9.01
36,375852,,,9.06,
41,375853,,,,7.5
43,375855,,,10.8,
55,375856,,,,8.68
0,375857,,,8.96,
28,375868,,,9.6,
80,375870,,,,9.34
60,375872,,,10.77,
47,375873,,,9.08,
90,375877,,,8.79,
59,375881,,,,8.71
49,375883,,,8.88,
31,375883,,,,8.67
38,375889,,,8.26,
10,375899,,,10.34,
40,375905,,,8.23,
63,375906,,,7.92,
79,375909,,,,8.46
53,375912,,,8.94,
89,375915,,,8.66,
38,375915,,,,9.54
77,375916,,,,9.32
92,375926,,,,9.89
4,375932,,,,8.62
78,375947,,,9.31,
32,375950,,,,8.0
14,375955,,,,11.18
23,375955,,,7.96,
33,375958,,,8.35,
67,375965,,,7.34,
74,375972,,,9.66,
49,375979,,,,8.57
9,375984,,,10.29,
15,375996,,,,9.16
41,375996,,,7.65,
72,375997,,,7.94,
12,375998,,,7.79,
89,376003,,,,8.9
86,376009,,,,8.54
13,376018,,,10.67,
95,376025,,,10.29,
48,376027,,,,8.61
52,376043,,,9.5,
76,376046,,,9.78,
93,376057,,,,8.6
51,376076,,,9.93,
68,376078,,,9.19,
98,376082,,,9.15,
62,376088,,,11.49,
37,376090,,,,9.0
88,376091,,,11.26,
33,376092,,,,8.66
64,376098,,,,10.27
6,376102,,,10.05,
73,376104,,,,9.77
10,376115,,,,10.67
45,376120,,,,9.69
2,376120,,,,9.21
35,376121,,,9.39,
3,376130,,,,8.78
7,376141,,,9.34,
22,376144,,,9.24,
75,376147,,,8.77,
22,376150,,,,9.9
50,384000,,,,10.41
19,384002,,,,8.44
96,384014,,,,9.41
27,384036,,,8.7,
30,384049,,,,8.68
61,384068,,,,11.35
86,384078,,,9.19,
64,384078,,,8.81,
7,384080,,,,9.26
71,384095,,,9.92,
53,384110,,,,8.47
21,384144,,,,9.95
98,384150,,,,8.89
5,384180,,,,10.18
58,384206,,,,6.95
71,384208,,,,8.81
26,384263,,,9.94,
29,384273,,,9.58,
80,384300,,,9.62,
60,384305,,,,9.06
44,384386,,,,10.98
51,384398,,,,8.65
62,384398,,,,10.28
42,384440,,,,7.49
1,384441,,,,9.44
88,384442,,,,8.97
59,384449,,,9.87,
19,384462,,,8.81,
45,384473,,,10.29,
91,384488,,,9.04,
55,384494,,,10.57,
16,392795,,,,8.57
24,450072,,,9.75,
75,450324,,,,9.2
50,450346,,,9.61,
25,450363,,,10.36,
95,450461,,,,11.07
9,450493,,,,9.61
70,459583,,,10.48,
1,459590,,,8.85,
30,459599,,,9.68,
16,459600,,,8.84,
90,459615,,,,10.27
99,459637,,,9.64,
94,459646,,,9.82,
32,459658,,,8.87,
73,459664,,,10.27,
26,459665,,,,10.03
47,459667,,,,9.94
48,459670,,,10.13,
65,459676,,,8.99,
91,459679,,,,10.8
66,459686,,,,9.63
81,459688,,,9.67,
85,459701,,,9.56,
81,459712,,,,8.17
92,459734,,,7.81,
56,459750,,,10.73,
17,459759,,,8.19,
68,459761,,,,9.64
11,459802,,,8.41,
84,459816,,,10.87,
34,459818,,,8.65,
70,459820,,,,8.81
99,459843,,,,10.26
97,459843,,,,9.62
18,459848,,,,7.74
42,459863,,,8.83,
37,459871,,,6.98,
76,459873,,,,11.03
93,459873,,,9.26,
34,459887,,,,9.19
83,459891,,,8.33,
4,459892,,,7.84,
8,459895,,,,8.68
87,459897,,,9.46,
96,459905,,,9.02,
36,459910,,,,10.66
17,459923,,,,9.57
24,459941,,,,8.85
67,459946,,,,9.46
72,459949,,,,10.51
14,459951,,,7.93,
28,459952,,,,10.4
85,459954,,,,11.06
78,459957,,,,8.84
69,459976,,,9.53,
82,459977,,,,9.19
57,459997,,,,6.19
39,460027,,,,9.37
5,460032,,,9.79,
79,460040,,,8.41,
6,460040,,,,10.48
31,460052,,,10.68,
13,460056,,,,10.89
15,460072,,,10.3,
3,469575,,,,10.69
18,469575,,,10.06,
97,469575,,,8.96,
2,469576,,,8.71,
6,469579,,,8.07,
77,469579,,,9.62,
14,469579,,,,7.87
92,469582,,,,8.62
40,469590,,,8.64,
53,469591,,,9.25,
89,469596,,,,8.23
12,469601,,,,7.94
0,469602,,,8.46,
23,469603,,,,9.49
41,469606,,,,6.55
28,469615,,,10.59,
95,469636,,,9.77,
45,469639,,,,9.2
84,469643,,,,10.2
2,469651,,,,9.33
12,469659,,,8.57,
43,469678,,,10.2,
56,469682,,,,7.79
3,469685,,,9.63,
38,469690,,,,8.4
38,469695,,,8.81,
33,469696,,,,7.61
10,469704,,,9.73,
33,469710,,,7.62,
90,469718,,,10.1,
69,469727,,,,9.56
13,469728,,,9.98,
52,469729,,,8.97,
68,469730,,,9.06,
74,469736,,,8.45,
62,469742,,,9.08,
76,469751,,,8.36,
94,469755,,,,10.06
8,469763,,,9.29,
78,469772,,,9.77,
32,469773,,,,9.65
52,469774,,,,8.08
57,469778,,,8.95,
54,469778,,,,9.93
35,469783,,,9.28,
51,469788,,,8.9,
60,469788,,,12.25,
55,469788,,,,10.15
93,469794,,,,7.54
79,469799,,,,9.74
54,469801,,,9.0,
83,469805,,,,8.46
9,469810,,,10.33,
89,469815,,,10.95,
48,469819,,,,9.96
77,469827,,,,10.14
49,469827,,,,9.19
74,469828,,,,10.61
27,469831,,,,9.24
59,469839,,,,9.12
61,469847,,,10.48,
75,469861,,,9.67,
67,469864,,,9.6,
4,469864,,,,8.82
86,469868,,,,9.9
11,469882,,,,10.67
22,469882,,,10.15,
15,469884,,,,9.99
36,469887,,,8.83,
31,469888,,,,11.78
88,469892,,,8.54,
73,469906,,,,9.29
41,469906,,,9.94,
40,469911,,,,8.59
63,469917,,,,8.85
49,469935,,,9.81,
37,469937,,,,9.9
7,469943,,,10.29,
23,469946,,,7.56,
82,469947,,,8.97,
29,469947,,,,9.63
80,469949,,,,8.25
21,469950,,,7.8,
87,469968,,,,8.34
65,469983,,,,10.19
0,469992,,,,7.74
47,469994,,,10.32,
39,470000,,,7.58,
64,470006,,,,10.17
63,470027,,,10.75,
98,470031,,,10.92,
66,470034,,,8.63,
58,470035,,,9.83,
35,470035,,,,10.12
10,470036,,,,10.04
22,470037,,,,7.84
44,470039,,,8.95,
25,470042,,,,10.43
72,470044,,,9.47,
43,470057,,,,9.75
62,480036,,,,9.43
45,480044,,,9.75,
98,480087,,,,7.5
19,480106,,,,10.33
42,480125,,,,9.52
26,480128,,,7.54,
7,480194,,,,9.85
46,480196,,,8.25,
64,480217,,,8.97,
53,480218,,,,8.75
19,480231,,,7.84,
27,480235,,,9.66,
55,480238,,,11.04,
71,480245,,,,8.2
61,480253,,,,10.15
91,480275,,,8.62,
1,480294,,,,6.85
86,480322,,,7.1,
59,480325,,,7.87,
80,480333,,,9.2,
29,480347,,,9.05,
50,480417,,,,9.34
71,480431,,,9.86,
60,480440,,,,8.91
5,480467,,,,8.29
